Time,Bus Voltage,Shunt Voltage,Load Voltage,Current,Power
2024-07-19 22:57:11,0.96,153.36,1.12,1534.70,1478.00
2024-07-19 22:57:11,0.96,153.58,1.12,1535.50,1474.00
2024-07-19 22:57:11,0.96,153.37,1.11,1535.70,1474.00
2024-07-19 22:57:11,0.96,153.34,1.12,1537.30,1474.00
2024-07-19 22:57:12,0.96,153.55,1.11,1534.40,1472.00
2024-07-19 22:57:12,0.96,153.32,1.11,1535.00,1468.00
2024-07-19 22:57:12,0.96,153.36,1.11,1536.70,1474.00
2024-07-19 22:57:12,0.96,153.32,1.11,1535.80,1468.00
2024-07-19 22:57:12,0.96,153.33,1.11,1534.60,1474.00
2024-07-19 22:57:12,0.96,153.47,1.11,1535.70,1474.00
2024-07-19 22:57:12,0.96,153.32,1.11,1535.60,1474.00
2024-07-19 22:57:12,0.96,153.36,1.11,1533.80,1472.00
2024-07-19 22:57:12,0.96,153.35,1.11,1535.30,1474.00
2024-07-19 22:57:12,0.96,153.55,1.11,1535.30,1472.00
2024-07-19 22:57:12,0.96,153.36,1.11,1536.60,1468.00
2024-07-19 22:57:12,0.96,153.34,1.11,1535.70,1474.00
2024-07-19 22:57:12,0.96,153.36,1.11,1535.00,1474.00
2024-07-19 22:57:12,0.96,153.37,1.11,1535.30,1472.00
2024-07-19 22:57:13,0.96,153.36,1.11,1534.40,1474.00
2024-07-19 22:57:13,0.96,153.35,1.11,1536.60,1468.00
2024-07-19 22:57:13,0.96,153.62,1.11,1535.70,1474.00
2024-07-19 22:57:13,0.96,153.39,1.11,1535.80,1474.00
2024-07-19 22:57:13,0.96,153.34,1.11,1533.20,1472.00
2024-07-19 22:57:13,0.96,153.38,1.11,1536.70,1474.00
2024-07-19 22:57:13,0.96,153.35,1.11,1534.70,1474.00
2024-07-19 22:57:13,0.96,153.55,1.12,1535.70,1474.00
2024-07-19 22:57:13,0.96,153.55,1.11,1534.60,1472.00
2024-07-19 22:57:13,0.96,153.35,1.11,1534.70,1474.00
